# time, value
1.001, 0.000678886626353
1.002, 0.00102532472205
1.003, 0.00127057605603
1.004, 0.0013216022671
1.005, 0.0014700572817
1.006, 0.00151617791748
1.007, 0.00162163561791
1.008, 0.00134559719658
1.009, 0.00185084230177
1.01, 0.00152733348485
1.011, 0.00167240638943
1.012, 0.001729776
1.013, 0.00176304225
1.014, 0.0014706405
1.015, 0.00207644433239
1.016, 0.00192314514286
1.017, 0.00225205263158
1.018, 0.001509
1.019, 0.00168708823529
1.02, 0.0018875
1.021, 0.00198253125
1.022, 0.00221613333333
1.023, 0.00248317857143
1.024, 0.002592
1.025, 0.00290865384615
1.026, 0.003026
1.027, 0.00225
1.028, 0.00116666666667
1.029, 0.00131818181818
1.03, 0.00136363636364
1.031, 0.00140909090909
1.032, 0.0016
1.033, 0.00165
1.034, 0.0017
1.035, 0.00194444444444
1.036, 0.002
1.037, 0.00205555555556
1.038, 0.00211111111111
1.039, 0.0024375
1.04, 0.0025
1.041, 0.0025625
1.042, 0.002625
1.043, 0.00307142857143
1.044, 0.00314285714286
1.045, 0.00321428571429
1.046, 0.00328571428571
1.047, 0.00335714285714
1.048, 0.00342857142857
1.049, 0.0035
1.05, 0.00416666666667
1.051, 0.00425
1.052, 0.00433333333333
1.053, 0.00441666666667
1.054, 0.0045
1.055, 0.
1.056, 0.
1.057, 0.
1.058, 0.
1.059, 0.
1.06, 0.
1.061, 0.
1.062, 0.
1.063, 0.
1.064, 0.
1.065, 0.
1.066, 0.
1.067, 0.
1.068, 0.
1.069, 0.
1.07, 0.
1.071, 0.
1.072, 0.
1.073, 0.
1.074, 0.
1.075, 0.
1.076, 0.
1.077, 0.
1.078, 0.
1.079, 0.
1.08, 0.
1.081, 0.
1.082, 0.
1.083, 0.
1.084, 0.
1.085, 0.
1.086, 0.
1.087, 0.
1.088, 0.
1.089, 0.
1.09, 0.
1.091, 0.
1.092, 0.
1.093, 0.
1.094, 0.
1.095, 0.
1.096, 0.
1.097, 0.
1.098, 0.
1.099, 0.
1.1, 0.
1.101, 0.
1.102, 0.
1.103, 0.
1.104, 0.
1.105, 0.
1.106, 0.
1.107, 0.
1.108, 0.
1.109, 0.
1.11, 0.
1.111, 0.
1.112, 0.
1.113, 0.
1.114, 0.
1.115, 0.
1.116, 0.
1.117, 0.
1.118, 0.
1.119, 0.
1.12, 0.
1.121, 0.
1.122, 0.
1.123, 0.
1.124, 0.
1.125, 0.
1.126, 0.
1.127, 0.
1.128, 0.
1.129, 0.
1.13, 0.
1.131, 0.
1.132, 0.
1.133, 0.
1.134, 0.
1.135, 0.
1.136, 0.
1.137, 0.
1.138, 0.
1.139, 0.
1.14, 0.
1.141, 0.
1.142, 0.
1.143, 0.
1.144, 0.
1.145, 0.
1.146, 0.
1.147, 0.
1.148, 0.
1.149, 0.
1.15, 0.
1.151, 0.
1.152, 0.
1.153, 0.
1.154, 0.
1.155, 0.
1.156, 0.
1.157, 0.
1.158, 0.
1.159, 0.
1.16, 0.
1.161, 0.
1.162, 0.
1.163, 0.
1.164, 0.
1.165, 0.
1.166, 0.
1.167, 0.
1.168, 0.
1.169, 0.
1.17, 0.
1.171, 0.
1.172, 0.
1.173, 0.
1.174, 0.
1.175, 0.
1.176, 0.
1.177, 0.
1.178, 0.
1.179, 0.
1.18, 0.
1.181, 0.
1.182, 0.
1.183, 0.
1.184, 0.
1.185, 0.
1.186, 0.
1.187, 0.
1.188, 0.
1.189, 0.
1.19, 0.
1.191, 0.
1.192, 0.
1.193, 0.
1.194, 0.
1.195, 0.
1.196, 0.
1.197, 0.
1.198, 0.
1.199, 0.
